now,messages,aircraft
1616180096,9512,"{'hex': 'a513ac', 'flight': 'UAL1416 ', 'alt_baro': 20500, 'alt_geom': 21250, 'gs': 387.5, 'track': 343.2, 'baro_rate': 1792, 'squawk': '5735', 'category': 'A3', 'nav_qnh': 1012.8, 'nav_altitude_mcp': 30016, 'lat': 27.243668, 'lon': -81.816896, 'nic': 8, 'rc': 186, 'seen_pos': 16.0, 'version': 0, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'unknown', 'mlat': [], 'tisb': [], 'messages': 78, 'seen': 12.0, 'rssi': -12.9}"
1616180096,9512,"{'hex': 'a22b5e', 'flight': 'N239QS  ', 'alt_baro': 1275, 'alt_geom': 1300, 'gs': 144.3, 'track': 223.3, 'geom_rate': -704, 'category': 'A2', 'nav_qnh': 1016.0, 'nav_altitude_mcp': 1600, 'nav_heading': 234.1, 'lat': 26.200624, 'lon': -81.723703, 'nic': 8, 'rc': 186, 'seen_pos': 0.30000000000000004, 'version': 0, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 1, 'sil': 3, 'sil_type': 'unknown', 'mlat': [], 'tisb': [], 'messages': 42, 'seen': 0.0, 'rssi': -10.4}"
1616180096,9512,"{'hex': 'a81525', 'flight': 'STV62   ', 'alt_baro': 38000, 'alt_geom': 39400, 'gs': 398.2, 'track': 289.2, 'geom_rate': 0, 'squawk': '5601', 'emergency': 'none', 'category': 'A2', 'nav_qnh': 1012.8, 'nav_altitude_mcp': 38016, 'lat': 27.066559, 'lon': -82.300035, 'nic': 8, 'rc': 186, 'seen_pos': 0.1, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 360, 'seen': 0.1, 'rssi': -5.8}"
1616180096,9512,"{'hex': 'ac1f98', 'alt_baro': 11950, 'alt_geom': 12450, 'gs': 385.5, 'track': 81.2, 'baro_rate': -2432, 'squawk': '2755', 'emergency': 'none', 'nav_qnh': 1016.0, 'nav_altitude_mcp': 10016, 'lat': 26.811622, 'lon': -81.110582, 'nic': 8, 'rc': 186, 'seen_pos': 31.1, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 56, 'seen': 4.8, 'rssi': -13.3}"
1616180096,9512,"{'hex': 'a017a8', 'alt_baro': 24725, 'mlat': [], 'tisb': [], 'messages': 12, 'seen': 17.7, 'rssi': -14.2}"
1616180096,9512,"{'hex': 'a010b3', 'alt_baro': 5925, 'alt_geom': 6100, 'gs': 266.2, 'track': 181.9, 'baro_rate': 0, 'nav_qnh': 1016.0, 'nav_altitude_mcp': 6016, 'version': 0, 'nic_baro': 1, 'nac_p': 8, 'nac_v': 2, 'sil': 2, 'sil_type': 'unknown', 'mlat': [], 'tisb': [], 'messages': 17, 'seen': 0.7000000000000001, 'rssi': -12.8}"
1616180096,9512,"{'hex': 'a9c9a1', 'flight': 'N73KP   ', 'alt_baro': 4500, 'alt_geom': 4700, 'gs': 128.6, 'track': 329.6, 'geom_rate': 64, 'squawk': '4551', 'emergency': 'none', 'category': 'A1', 'lat': 26.58049, 'lon': -82.053927, 'nic': 7, 'rc': 371, 'seen_pos': 0.0, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 385, 'seen': 0.0, 'rssi': -7.0}"
1616180096,9512,"{'hex': 'a67f04', 'flight': 'SOO3649 ', 'alt_baro': 26225, 'alt_geom': 27250, 'gs': 432.1, 'ias': 307, 'tas': 456, 'mach': 0.748, 'track': 316.0, 'track_rate': 0.0, 'roll': -0.4, 'mag_heading': 315.9, 'baro_rate': 1664, 'geom_rate': 1760, 'squawk': '7446', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 38016, 'nav_altitude_fms': 40000, 'nav_heading': 319.2, 'lat': 26.664237, 'lon': -81.24152, 'nic': 8, 'rc': 186, 'seen_pos': 0.6000000000000001, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 348, 'seen': 0.30000000000000004, 'rssi': -7.9}"
1616180096,9512,"{'hex': 'a155a3', 'flight': 'N1850M  ', 'alt_baro': 39225, 'alt_geom': 40775, 'gs': 410.2, 'track': 341.1, 'baro_rate': 1088, 'squawk': '6014', 'emergency': 'none', 'category': 'A2', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 40000, 'lat': 26.853798, 'lon': -82.696944, 'nic': 9, 'rc': 75, 'seen_pos': 0.8, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 3, 'mlat': [], 'tisb': [], 'messages': 137, 'seen': 0.8, 'rssi': -10.5}"
1616180096,9512,"{'hex': 'ad7828', 'flight': 'SWA1962 ', 'alt_baro': 22250, 'alt_geom': 23100, 'gs': 424.3, 'ias': 321, 'tas': 446, 'mach': 0.716, 'track': 315.6, 'track_rate': 0.03, 'roll': 0.2, 'mag_heading': 315.2, 'baro_rate': 2112, 'geom_rate': 2240, 'squawk': '2165', 'emergency': 'none', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 23008, 'nav_altitude_fms': 38000, 'nav_heading': 322.0, 'lat': 26.482819, 'lon': -81.041479, 'nic': 7, 'rc': 371, 'seen_pos': 3.2, 'version': 2, 'nic_baro': 1, 'nac_p': 8, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 1, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 94, 'seen': 1.8, 'rssi': -10.6}"
